customer_id,customer_name,segment,customer_tier,customer_ltv,home_region,home_city,total_orders
CUST-0001,Gaurav Sharma,Consumer,Silver,93051.88,East,Bhubaneswar,11
CUST-0002,Nikhil Kumar,Home Office,Gold,177516.0,North,Amritsar,12
CUST-0003,Deepika Chatterjee,Corporate,Gold,262175.57,West,Mumbai,7
CUST-0004,Aditi Patel,Corporate,Platinum,332289.77,South,Chennai,18
CUST-0005,Anjali Mishra,Consumer,Silver,142319.54,North,Amritsar,17
CUST-0006,Meera Yadav,Consumer,Gold,224139.43,West,Pune,14
CUST-0007,Yash Chatterjee,Consumer,Bronze,44846.18,East,Kolkata,10
CUST-0008,Kiran Yadav,Home Office,Platinum,477276.15,West,Ahmedabad,15
CUST-0009,Rahul Kumar,Corporate,Gold,290324.96,South,Hyderabad,18
CUST-0010,Divya Patel,Corporate,Silver,91337.71,West,Mumbai,14
CUST-0011,Sandeep Iyer,Consumer,Gold,288331.41,East,Kolkata,21
CUST-0012,Zara Das,Home Office,Gold,219245.76,North,Lucknow,19
CUST-0013,Deepika Das,Corporate,Silver,144802.76,East,Ranchi,19
CUST-0014,Sneha Chatterjee,Consumer,Gold,274853.81,South,Bangalore,14
CUST-0015,Akash Pandey,Consumer,Gold,165730.06,South,Hyderabad,20
CUST-0016,Deepika Mehta,Consumer,Gold,181604.61,North,Lucknow,15
CUST-0017,Rahul Malhotra,Consumer,Silver,139227.06,East,Bhubaneswar,16
CUST-0018,Sneha Iyer,Corporate,Gold,250999.7,South,Hyderabad,16
CUST-0019,Arjun Mishra,Consumer,Bronze,47269.69,South,Coimbatore,14
CUST-0020,Pooja Gupta,Consumer,Platinum,352169.97000000003,West,Surat,15
CUST-0021,Rahul Tiwari,Corporate,Silver,113328.89,South,Hyderabad,15
CUST-0022,Ananya Mehta,Consumer,Gold,165920.06,North,Jaipur,16
CUST-0023,Tanvi Shah,Consumer,Gold,251386.19,North,Chandigarh,13
CUST-0024,Esha Yadav,Consumer,Gold,153859.87,East,Bhubaneswar,14
CUST-0025,Amit Pillai,Consumer,Gold,172900.09,West,Pune,15
CUST-0026,Priya Kumar,Corporate,Silver,121054.5,South,Coimbatore,10
CUST-0027,Chetan Shah,Consumer,Silver,148156.63,West,Nagpur,20
CUST-0028,Tanvi Iyer,Consumer,Gold,195381.34,South,Chennai,16
CUST-0029,Anjali Kapoor,Corporate,Platinum,356457.54,North,Delhi,17
CUST-0030,Gaurav Kumar,Consumer,Silver,130748.39,South,Kochi,16
CUST-0031,Geeta Patel,Corporate,Silver,117359.56,West,Surat,14
CUST-0032,Geeta Malhotra,Consumer,Silver,121417.79,East,Ranchi,13
CUST-0033,Aarav Pandey,Consumer,Silver,69058.22,North,Amritsar,11
CUST-0034,Rahul Tiwari,Home Office,Platinum,398041.55,East,Kolkata,20
CUST-0035,Rajesh Chopra,Home Office,Gold,195474.09,South,Kochi,21
