order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,region,city,category,product_name,quantity,unit_price,discount,sales,profit,profit_margin,order_year,order_month,order_quarter,order_month_name,order_year_month,days_to_ship,discount_band,sales_band,is_profitable,customer_ltv,customer_tier,revenue_share_pct
ORD-04018,2021-01-01,2021-01-06,Standard Class,CUST-0055,Esha Kapoor,Corporate,South,Kochi,Sports & Fitness,Jump Rope Speed,2,429.59,0.25,644.38,215.84,33.5,2021,1,1,Jan,2021-01,5,High (21-30%),< ₹2K,True,360224.3,Platinum,0.001
ORD-02533,2021-01-02,2021-01-07,Standard Class,CUST-0021,Rahul Tiwari,Corporate,South,Hyderabad,Electronics,Wireless Earbuds,3,3346.27,0.0,10038.81,3162.22,31.5,2021,1,1,Jan,2021-01,5,No Discount,₹10K–30K,True,113328.89,Silver,0.0155
ORD-03487,2021-01-02,2021-01-08,Standard Class,CUST-0234,Ananya Joshi,Consumer,East,Ranchi,Home & Kitchen,Bedsheet Set King,1,1828.46,0.05,1737.04,799.84,46.05,2021,1,1,Jan,2021-01,6,Low (1-10%),< ₹2K,True,155544.82,Gold,0.0027
ORD-01167,2021-01-02,2021-01-09,Standard Class,CUST-0233,Bhavesh Iyer,Corporate,West,Surat,Books & Stationery,Highlighter Pack,2,171.32,0.0,342.64,207.3,60.5,2021,1,1,Jan,2021-01,7,No Discount,< ₹2K,True,601956.97,Platinum,0.0005
ORD-00524,2021-01-03,2021-01-06,Second Class,CUST-0049,Nikhil Patel,Corporate,East,Kolkata,Home & Kitchen,Sofa Cushion Set,3,1176.35,0.05,3352.6,1627.94,48.56,2021,1,1,Jan,2021-01,3,Low (1-10%),₹2K–10K,True,78756.5,Silver,0.0052
ORD-00997,2021-01-04,2021-01-06,Same Day,CUST-0277,Ananya Mishra,Corporate,West,Ahmedabad,Clothing,Sneakers Classic,1,3187.31,0.25,2390.48,607.42,25.41,2021,1,1,Jan,2021-01,2,High (21-30%),₹2K–10K,True,164818.92,Gold,0.0037
ORD-04424,2021-01-04,2021-01-09,Standard Class,CUST-0255,Kavya Chopra,Consumer,South,Bangalore,Sports & Fitness,Cricket Bat SS,2,3204.89,0.1,5768.8,1887.44,32.72,2021,1,1,Jan,2021-01,5,Low (1-10%),₹2K–10K,True,277202.4,Gold,0.0089
ORD-03336,2021-01-05,2021-01-10,Second Class,CUST-0257,Tanvi Tiwari,Home Office,North,Jaipur,Electronics,USB-C Hub,4,1828.11,0.0,7312.44,2924.98,40.0,2021,1,1,Jan,2021-01,5,No Discount,₹2K–10K,True,171783.07,Gold,0.0113
ORD-04299,2021-01-06,2021-01-10,Second Class,CUST-0027,Chetan Shah,Consumer,West,Nagpur,Electronics,Smartphone X12,1,18726.75,0.2,14981.4,1898.45,12.67,2021,1,1,Jan,2021-01,4,Medium (11-20%),₹10K–30K,True,148156.63,Silver,0.0231
ORD-02490,2021-01-07,2021-01-14,Standard Class,CUST-0110,Manish Chatterjee,Consumer,East,Kolkata,Electronics,USB-C Hub,3,1776.94,0.0,5330.82,1961.74,36.8,2021,1,1,Jan,2021-01,7,No Discount,₹2K–10K,True,147706.91,Silver,0.0082
ORD-00510,2021-01-07,2021-01-14,Standard Class,CUST-0298,Zara Iyer,Consumer,West,Nagpur,Books & Stationery,Python Programming,1,571.8,0.1,514.62,176.4,34.28,2021,1,1,Jan,2021-01,7,Low (1-10%),< ₹2K,True,73516.59,Silver,0.0008
ORD-04878,2021-01-08,2021-01-13,Standard Class,CUST-0225,Manish Chatterjee,Consumer,West,Surat,Clothing,Woollen Sweater,3,2070.25,0.2,4968.6,1644.0,33.09,2021,1,1,Jan,2021-01,5,Medium (11-20%),₹2K–10K,True,259743.0,Gold,0.0077
